ID,Company,Position,Location,Date Applied,Status,Notes,Next Alert,Next Alert Date,Alert Seen,Interview
1,Hill AFB,Engineering Intern,"Ogden, Utah",2026-03-10,inactive,,,,,False
2,KBR,Systems Engineering Intern,"Clearfield, Utah",2026-03-10,inactive,,,,,False
3,AeroCreeper,Design Engineering Intern,"Corinne, Utah",2026-03-10,inactive,,,,,False
4,Cytiva,Manufacturing Project Engineering Intern,"Logan, Utah",2026-03-10,inactive,,,,,False
5,Clearfield City,Engineering Intern,"Clearfield, Utah",2026-03-13,inactive,,,,,False
6,Honeywell,Mechanical Engineering Intern,"Phoenix, Arizona",2026-03-13,inactive,"Location advertised as remote, most likely would need to move.",,,,False
7,Honeywell,Systems Engineering Intern,"Phoenix, Arizona",2026-03-13,inactive,"Location advertised as remote, likely need to move.",,,,False
8,Westinghouse,Metallurgical Engineering Intern,"Ogden, Utah",2026-03-13,inactive,,,,,False
10,Williams International,Engineering Intern,"Ogden, Utah",2026-03-10,inactive,,,,,False
11,Chromalox,Manufacturing Engineering Intern,"Ogden, Utah",2026-03-13,inactive,,,,,False
12,BD,Engineering Intern,"Salt Lake City, Utah",2026-03-13,inactive,,,,,False
13,WSP,Renewable Engineering Intern,"Salt Lake City, Utah",2026-03-13,inactive,,,,,False
